Parent	Type	Child	Weight	Probability	Score
1	+	1	0.356648	1.000000	0.556617
2	+	1	0.055640	0.283977	0.024660
3	+	1	0.046660	0.186341	0.013570
4	+	1	0.017774	0.114501	0.003176
5	-	1	-0.027910	0.134165	-0.005844
6	-	1	-0.001968	0.108001	-0.000332
7	+	1	0.078076	0.490067	0.059716
8	+	1	0.016714	0.097173	0.002535
9	+	1	0.250884	1.000000	0.391553
10	-	1	-0.004810	0.132541	-0.000995
11	-	1	-0.012504	0.126132	-0.002461
12	+	1	0.002506	0.100878	0.000395
13	+	1	0.041879	0.188907	0.012347
14	-	1	-0.001081	0.142620	-0.000241
15	+	1	0.018795	0.107399	0.003150
16	-	1	-0.046840	0.427945	-0.031284
17	-	1	-0.012883	0.097358	-0.001957
18	+	1	0.049909	0.195969	0.015265
19	+	1	0.040150	0.143992	0.009023
20	+	1	0.188202	1.000000	0.293726
21	+	1	0.102777	0.946306	0.151790
22	+	1	0.175477	0.999958	0.273854
23	+	1	0.029738	0.126471	0.005870
24	-	1	-0.211877	1.000000	-0.330674
25	-	1	-0.008277	0.138948	-0.001795
26	+	1	0.096983	0.818537	0.123894
27	+	1	0.022795	0.099844	0.003552
28	+	1	0.153159	0.999983	0.239029
29	-	1	-0.167338	1.000000	-0.261163
30	-	1	-0.124382	0.999995	-0.194121
31	+	1	0.000054	0.119956	0.000010
32	+	1	0.105419	0.972829	0.160056
33	-	1	-0.129656	1.000000	-0.202353
34	+	1	0.020770	0.100685	0.003264
35	-	1	-0.098204	0.929100	-0.142399
36	-	1	-0.057570	0.485919	-0.043660
37	+	1	0.100001	0.855499	0.133519
38	+	1	0.055252	0.149234	0.012869
1	+	2	0.008134	0.079514	0.001009
2	+	2	0.239216	1.000000	0.373342
3	-	2	-0.001915	0.046829	-0.000140
4	+	2	0.270813	1.000000	0.422655
5	+	2	0.006828	0.048758	0.000520
6	+	2	0.211564	1.000000	0.330186
7	+	2	0.005104	0.107503	0.000856
8	+	2	0.007872	0.089545	0.001100
9	+	2	0.002102	0.086754	0.000285
10	+	2	0.004707	0.059166	0.000435
11	+	2	0.000959	0.056459	0.000085
12	+	2	0.221219	1.000000	0.345254
13	+	2	0.005863	0.105767	0.000968
14	+	2	0.009543	0.086713	0.001291
15	+	2	0.043993	0.057235	0.003930
16	-	2	-0.056718	0.464371	-0.041106
17	-	2	-0.004588	0.087931	-0.000630
18	+	2	0.065913	0.315051	0.032409
19	+	2	0.038208	0.057789	0.003446
20	+	2	0.007241	0.078733	0.000890
21	+	2	0.085418	0.210752	0.028095
22	-	2	-0.016318	0.153421	-0.003907
23	+	2	0.090343	0.309373	0.043621
24	+	2	0.013724	0.096785	0.002073
25	+	2	0.079002	0.128372	0.015828
26	-	2	-0.051987	0.994696	-0.080705
27	-	2	-0.038604	0.885672	-0.053361
28	-	2	-0.010954	0.199862	-0.003417
29	+	2	0.009183	0.080477	0.001153
30	-	2	-0.002818	0.099020	-0.000435
31	+	2	0.082675	0.182809	0.023588
32	-	2	-0.060932	0.995803	-0.094697
33	-	2	-0.039219	0.900416	-0.055113
34	+	2	0.046613	0.003163	0.000230
35	-	2	-0.141518	0.999993	-0.220865
36	-	2	-0.037732	0.609198	-0.035874
37	+	2	0.070469	0.033554	0.003690
38	+	2	0.039665	0.005423	0.000336
1	+	3	0.041511	0.510442	0.033069
2	+	3	0.003889	0.104878	0.000637
3	+	3	0.473115	1.000000	0.738385
4	+	3	0.004257	0.103546	0.000688
5	+	3	0.115471	0.988736	0.178185
6	+	3	0.003024	0.107250	0.000506
7	+	3	0.021087	0.153128	0.005039
8	+	3	0.013110	0.110862	0.002268
9	+	3	0.017847	0.135759	0.003781
10	+	3	0.117402	1.000000	0.183229
11	+	3	0.003367	0.104923	0.000551
12	+	3	0.008014	0.100836	0.001261
13	+	3	0.010497	0.117205	0.001920
14	+	3	0.016766	0.159223	0.004166
15	+	3	0.015436	0.149831	0.003610
16	+	3	0.230402	0.939235	0.337735
17	+	3	0.060643	0.677655	0.064137
18	+	3	0.008027	0.090506	0.001134
19	+	3	0.069826	0.977565	0.106531
20	+	3	0.024564	0.262371	0.010058
21	-	3	-0.025549	0.223142	-0.008897
22	+	3	0.040929	0.594346	0.037965
23	-	3	-0.023454	0.200731	-0.007348
24	+	3	0.078354	0.975419	0.119280
25	-	3	-0.032383	0.324316	-0.016391
26	-	3	-0.011751	0.148906	-0.002731
27	+	3	0.005834	0.117628	0.001071
28	+	3	0.005489	0.123050	0.001054
29	+	3	0.051597	0.860630	0.069304
30	-	3	-0.078685	0.996766	-0.122406
31	-	3	-0.007835	0.123719	-0.001513
32	-	3	-0.056624	0.855398	-0.075594
33	-	3	-0.072508	0.995708	-0.112677
34	-	3	-0.052977	0.797458	-0.065934
35	+	3	0.027443	0.361786	0.015495
36	+	3	0.047565	0.634393	0.047093
37	-	3	-0.000932	0.107352	-0.000156
38	+	3	0.016122	0.224516	0.005649
1	+	4	0.000730	0.089617	0.000102
2	+	4	0.235537	1.000000	0.367600
3	+	4	0.000127	0.043353	0.000009
4	+	4	0.254078	1.000000	0.396537
5	+	4	0.013203	0.061126	0.001260
6	+	4	0.216850	1.000000	0.338436
7	+	4	0.005348	0.124290	0.001037
8	+	4	0.005271	0.101059	0.000831
9	+	4	0.016919	0.124875	0.003297
10	+	4	0.010066	0.079901	0.001255
11	+	4	0.005179	0.059949	0.000485
12	+	4	0.237051	1.000000	0.369963
13	+	4	0.003200	0.109028	0.000544
14	+	4	0.003774	0.089275	0.000526
15	+	4	0.024178	0.161979	0.006112
16	+	4	0.028894	0.420829	0.018977
17	-	4	-0.004744	0.074800	-0.000554
18	+	4	0.085811	0.996112	0.133404
19	+	4	0.029770	0.203736	0.009466
20	-	4	-0.012264	0.122695	-0.002348
21	+	4	0.031638	0.395401	0.019524
22	-	4	-0.010719	0.101042	-0.001690
23	+	4	0.033290	0.435161	0.022609
24	+	4	0.022290	0.147839	0.005143
25	+	4	0.029566	0.352280	0.016255
26	-	4	-0.044762	0.556929	-0.038907
27	-	4	-0.033943	0.280258	-0.014847
28	+	4	0.024117	0.189567	0.007135
29	+	4	0.021924	0.146569	0.005015
30	+	4	0.010724	0.101922	0.001706
31	+	4	0.031948	0.401696	0.020029
32	-	4	-0.059683	0.897047	-0.083557
33	-	4	-0.019698	0.150634	-0.004631
34	+	4	0.007601	0.134714	0.001598
35	-	4	-0.023683	0.268505	-0.009925
36	-	4	-0.029726	0.215352	-0.009991
37	+	4	0.042865	0.571127	0.038208
38	+	4	0.010452	0.145104	0.002367
1	-	5	-0.004181	0.135060	-0.000881
2	+	5	0.000571	0.096512	0.000086
3	+	5	0.041351	0.486091	0.031370
4	+	5	0.002785	0.098557	0.000428
5	+	5	0.388949	1.000000	0.607029
6	+	5	0.003849	0.102398	0.000615
7	+	5	0.004293	0.110250	0.000739
8	+	5	0.012678	0.138660	0.002744
9	-	5	-0.004973	0.136937	-0.001063
10	+	5	0.000674	0.067067	0.000071
11	-	5	-0.004528	0.137609	-0.000972
12	+	5	0.001162	0.092434	0.000168
13	+	5	0.004600	0.104108	0.000747
14	+	5	0.001823	0.088640	0.000252
15	+	5	0.020928	0.240989	0.007871
16	-	5	-0.061572	0.535180	-0.051428
17	+	5	0.008217	0.080349	0.001030
18	+	5	0.011743	0.124247	0.002277
19	+	5	0.002182	0.108253	0.000369
20	-	5	-0.062188	0.999657	-0.097023
21	+	5	0.000734	0.116312	0.000133
22	+	5	0.088044	1.000000	0.137409
23	+	5	0.005622	0.122979	0.001079
24	+	5	0.126692	0.999999	0.197726
25	+	5	0.007980	0.131955	0.001643
26	-	5	-0.002676	0.127912	-0.000534
27	+	5	0.031825	0.572713	0.028446
28	-	5	-0.063561	0.999735	-0.099172
29	-	5	-0.003214	0.098774	-0.000496
30	-	5	-0.066409	0.999984	-0.103643
31	+	5	0.001925	0.113804	0.000342
32	+	5	0.025254	0.370623	0.014607
33	+	5	0.003193	0.110129	0.000549
34	+	5	0.030684	0.642269	0.030758
35	-	5	-0.129220	0.999991	-0.201671
36	+	5	0.018231	0.160829	0.004576
37	+	5	0.027464	0.375746	0.016106
