Gene1	Gene2	Score
22	3	1
24	5	1
25	6	1
26	7	1
28	9	1
29	10	1
30	11	1
31	12	1
33	14	1
34	15	1
35	16	1
36	17	1
38	19	1
3	22	1
5	24	1
6	25	1
7	26	1
9	28	1
10	29	1
11	30	1
12	31	1
14	33	1
15	34	1
16	35	1
17	36	1
19	38	1
20	1	1
23	4	1
27	8	1
32	13	1
1	20	1
4	23	1
8	27	1
13	32	1
21	2	1
37	18	1
2	21	1
18	37	1
5	3	0.953949291418085
3	5	0.953949291418085
22	5	0.953949291418085
5	22	0.953949291418085
24	3	0.953949291418085
24	22	0.953949291418085
3	24	0.953949291418085
22	24	0.953949291418085
5	35	0.949184839910176
5	16	0.949184839910176
24	16	0.949184839910176
24	35	0.949184839910176
22	35	0.943427609884478
22	16	0.943427609884478
3	16	0.943427609884477
3	35	0.943427609884477
29	35	0.911291368126481
10	35	0.911291368126481
29	16	0.911291368126481
10	16	0.91129136812648
5	15	-0.910989015225173
5	34	-0.910989015225173
24	15	-0.910989015225173
24	34	-0.910989015225173
22	15	-0.90592203310761
22	34	-0.90592203310761
3	15	-0.90592203310761
3	34	-0.90592203310761
29	15	-0.895160376365131
10	15	-0.895160376365131
29	34	-0.89516037636513
10	34	-0.89516037636513
10	14	-0.890687907666812
29	14	-0.890687907666812
10	33	-0.890687907666812
29	33	-0.890687907666812
29	5	0.890390811125389
10	5	0.890390811125388
29	24	0.890390811125388
10	24	0.890390811125388
13	16	0.881637284925718
32	16	0.881637284925718
32	35	0.881637284925718
13	35	0.881637284925717
10	3	0.880451261373208
29	3	0.880451261373208
10	22	0.880451261373208
29	22	0.880451261373208
17	30	0.879887394024475
17	11	0.879887394024475
36	30	0.879887394024474
36	11	0.879887394024474
36	34	0.879887161815316
36	15	0.879887161815316
17	15	0.879887161815316
17	34	0.879887161815316
10	11	-0.87749517425671
29	11	-0.87749517425671
29	30	-0.877495174256709
10	30	-0.877495174256709
28	1	0.876666709188699
28	20	0.876666709188699
1	28	0.876666709188699
20	28	0.876666709188699
9	1	0.876666709188699
