GeneID,S1,S2,NA,NA.1,NA.2,NA.3,NA.4,NA.5
ENSMUSG00000102693,1,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0
ENSMUSG00000051951,5,7,11,1,13.5,42,103,480.5
ENSMUSG00000102851,0,0,0,0,0,0.5,0,2
ENSMUSG00000103377,0,1,1,1,0,7,9,32
ENSMUSG00000104017,0,0,0,1,1,1,1,7.5
ENSMUSG00000103025,0,1,0,0,0,1.5,1.5,13.5
ENSMUSG00000089699,0,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,1.5,4,26
ENSMUSG00000103147,0,0.5,1,0,1,1.5,1,10.5
ENSMUSG00000103161,0,2,0,0,0,9,1,38.5
ENSMUSG00000102331,0,4.5,0,0,1,25,18,102
ENSMUSG00000102348,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0
ENSMUSG00000102343,12,11.5,30.5,9,12.5,3,3,2.5
ENSMUSG00000025900,0,2.5,2.5,1,2,0.5,4,3.5
ENSMUSG00000102948,0,0,0,0,1,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0.5,0
ENSMUSG00000025902,66,81,41,20,18,12,20,11
ENSMUSG00000104238,0,0,0,0.5,0,1,0,0
ENSMUSG00000102269,18,10,7,5,3,0,4,1
ENSMUSG00000096126,3,0,0,1,1,1,1,1
ENSMUSG00000103003,0,0,0,0,0,0,0,0
ENSMUSG00000104328,0,0,0.5,0,0,0,0,1
ENSMUSG00000102735,0,1,0,0,0,0,0,0
ENSMUSG00000098104,54,36,46,43,55,30,58,53.5
ENSMUSG00000102175,4.5,3,1,2,4,0,1,0
ENSMUSG00000088000,0,0.5,0,0,0,0,0,0.5
ENSMUSG00000103265,7.5,2.5,0.5,2,0,1,0,2
ENSMUSG00000103922,281.5,272.5,354.5,323.5,302.5,223.5,201.5,169
ENSMUSG00000033845,12170,9254,13318.5,14607.5,16667,13174.5,15345.5,10596.5
ENSMUSG00000102275,90.5,92.5,131.5,115,122,117.5,85,78
ENSMUSG00000025903,4325.5,4162.5,4982,4879.5,5551,3259.5,2802.5,2540
ENSMUSG00000104217,0,0,0,0,0,0,0,0
ENSMUSG00000033813,6199,5610,7638,6479.5,8020,5825.5,5595.5,5181.5
ENSMUSG00000062588,3.5,21.5,19.5,14.5,16,9.5,11,14.5
ENSMUSG00000103280,27.5,13,16.5,20,23.5,14.5,9.5,9
ENSMUSG00000002459,20.5,13,39.5,36.5,119,81,49,92.5
ENSMUSG00000091305,0,0,0,1,0,0,0,0
ENSMUSG00000102653,2,0,0,2,4,1,0,0
ENSMUSG00000085623,1.5,11,76.5,92.5,78,47,5.5,22.5
ENSMUSG00000091665,0,0,0,3.5,4,0.5,1,0
ENSMUSG00000033793,9156,8434.5,8075.5,5972,8329,6787.5,5411.5,4620
ENSMUSG00000104352,0,0,0,0,1,1,0,0
ENSMUSG00000104046,11.5,7,8,6,7,5,1,0
ENSMUSG00000102907,0,0,0,3,0.5,1,0,0
ENSMUSG00000025905,7.5,7,17,14.5,30,19,63,106
ENSMUSG00000103936,0,0,0,0,0,0,1,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,1,0,0,0,0,0
ENSMUSG00000033774,0,7,3,1,0,0,2,0
ENSMUSG00000103090,0,0,1,0,0,0,0.5,0
ENSMUSG00000025907,5023,6476.5,7398,4873,5336.5,4236.5,3569.5,4999.5
ENSMUSG00000090031,81,165,137,95.5,111,72.5,73,194
ENSMUSG00000087247,0,5,1,3,0,0,2,4
ENSMUSG00000103355,0,2.5,1,0,0,0,0,0
ENSMUSG00000102706,0,0,0,0,0,0,0,0
ENSMUSG00000103845,21,80,51.5,38,14,8,0,9
ENSMUSG00000033740,10,8,3,10,9.5,3.5,3,2
ENSMUSG00000103329,3,0,0,0,0,0,0,1
ENSMUSG00000104385,2,1,0,0,4,5,2.5,0
ENSMUSG00000102135,20.5,16.5,15.5,19,18,22.5,18.5,18
ENSMUSG00000103282,0,0,0,0,0,0,1,0
ENSMUSG00000102534,0,0,1.5,0,2.5,0.5,1.5,0
ENSMUSG00000102213,0,0.5,3.5,5,1,0,0,0
ENSMUSG00000103629,3,0,3,5.5,3,2.5,1.5,0
ENSMUSG00000051285,8951.5,7310.5,6019.5,6456,6174,4128.5,5547,7482
ENSMUSG00000098201,22.5,29.5,29,25,26,13.5,20,14.5
ENSMUSG00000103509,1240.5,830.5,1445.5,1010.5,780,546.5,609,1147.5
ENSMUSG00000048538,23.5,6,5.5,3,2,6,6,4.5
ENSMUSG00000103709,0,0,0.5,0,0,0,1,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,3,0.5,0
ENSMUSG00000097797,120,131.5,140,95.5,86.5,117,90,68
ENSMUSG00000103498,0,0.5,0,0,0,0,0,0
ENSMUSG00000103067,124,182.5,331,112.5,30.5,3,2.5,2
ENSMUSG00000102320,7,0,0,6.5,0,0,0,0
ENSMUSG00000104226,31,13,6.5,9.5,0,0.5,2,0
ENSMUSG00000103903,2.5,1,0,1,0,0.5,1,0.5
