"","ENSMUSG00000000730","ENSMUSG00000003031","ENSMUSG00000005566","ENSMUSG00000006205","ENSMUSG00000006311","ENSMUSG00000008999","ENSMUSG00000010660","ENSMUSG00000014846","ENSMUSG00000015053","ENSMUSG00000020303","ENSMUSG00000021255","ENSMUSG00000021256","ENSMUSG00000021477","ENSMUSG00000021939","ENSMUSG00000022286","ENSMUSG00000022382","ENSMUSG00000022528","ENSMUSG00000023333","ENSMUSG00000023990","ENSMUSG00000024140","ENSMUSG00000028195","ENSMUSG00000029556","ENSMUSG00000029646","ENSMUSG00000030551","ENSMUSG00000031326","ENSMUSG00000031844","ENSMUSG00000031995","ENSMUSG00000032487","ENSMUSG00000037664","ENSMUSG00000038151","ENSMUSG00000039191","ENSMUSG00000039329","ENSMUSG00000039337","ENSMUSG00000042357","ENSMUSG00000042367","ENSMUSG00000045005","ENSMUSG00000046179","ENSMUSG00000046352","ENSMUSG00000049382","ENSMUSG00000050953","ENSMUSG00000052837","ENSMUSG00000052854","ENSMUSG00000053113","ENSMUSG00000056501","ENSMUSG00000057615","ENSMUSG00000092035"
"ENSMUSG00000000730",0,0.114668697704788,0.0238214386448293,0.00282405562041879,0.00730031525422094,0.0147478283865478,0.0372919267757358,0.0358501204125556,0.0129380007404977,0.00776305029275807,0.00369588605715442,0.010413152033343,0.0378606489166374,0.00679419170072342,0.0409114018930619,0.0115822400482577,0.0126488075780104,0.00715931356785383,0.00782345670502149,0.0432992934563938,0.0123420878807566,0.0187721424644413,0.0171251186212242,0.0284279328639439,0.113977647292445,0.0127987398318636,0.105573243960713,0.00957854836296431,0.0227390491841476,0.0265247893648826,0.0140446889555962,0.0171726992737612,0.043389301568027,0.0107530744290729,0.00542467721082356,0.00803407548049691,0.055878158489371,0.00297040878338405,0.00603231501753565,0.00440426847724058,0.0332677041533299,0.00397540509101911,0.020046474666245,0.00460868058012288,0.0410359262586618,0.0374874959977939
"ENSMUSG00000003031",0.0232570950321103,0,0.0809761389774651,0.0054057079197085,0.0146133237133029,0.00600828172947261,0.0113321476416701,0.0152669560188411,0.0037096358586411,0.0156118739020841,0.00455462239732705,0.0145009907698602,0.016265502125944,0.00455973377309914,0.0149140073829489,0.00715673317297119,0.00390141161407857,0.0109075565223388,0.00505646126112933,0.0230548702505605,0.0309020859562931,0.00761849732404413,0.00392840627004641,0.00961932315136075,0.00846146954038188,0.0064214549743718,0.0733721052936978,0.00370057913352356,0.0183046322774153,0.0104669282093625,0.013911260050938,0.0260207884884103,0.0642359109704261,0.00651784613673427,0.0037302169842531,0.00442456571796085,0.033174799183026,0.00539406242540534,0.0587709154866573,0.0187815689124031,0.0135565255472026,0.00864393799368405,0.00386743778384053,0.00660120971122455,0.0483607215024577,0.0222876889817133
"ENSMUSG00000005566",0.0286659763721019,0.0787360115011523,0,0.0130526735678672,0.00854730591686331,0.00273200401307779,0.00418860425189464,0.017943918544701,0.00343872878912224,0.0395559352416059,0.00544555282079387,0.0330045652971804,0.00507874585036555,0.00184628221296762,0.00298981101860607,0.0103063728020193,0.00889317111980144,0.00479103705847478,0.00554655446220385,0.0880048331447181,0.0146115014443546,0.00697167686605878,0.00517794957879963,0.0023991382129764,0.0101753842813942,0.00590304856313923,0.0188805498092072,0.00833603187082677,0.00569703481500786,0.0085565096049225,0.0371351248179161,0.0670047161510606,0.0938870537666067,0.0037219999066484,0.00348383873582532,0.00339147489894911,0.00862546629666741,0.0346783341075732,0.0161018278418592,0.0219418831226625,0.00847236715421494,0.0116818518323132,0.000736757645034649,0.0233415148333121,0.134580602081688,0.0578497276264827
"ENSMUSG00000006205",0.00638675446000254,0.00562239830965857,0.0171687481181775,0,0.0104545562031967,0.00139384113697032,0.0101637577763811,0.0122998856156483,0.00140172209410946,0.0500812265593699,0.0760734593631749,0.100535539098877,0.00404826829149007,0.00495645322825736,0.0115559134855323,0.163693655284073,0.00372082978065955,0.0206838357522971,0.00928648969878041,0.017220784034053,0.0168043631121641,0.00347697886738283,0.00465055904625437,0.00365863615929116,0.00978022137048574,0.00517087543275806,0.00565628912361573,0.011534143645855,0.00998752361785565,0.0134532111475067,0.0312387240626154,0.025703222458607,0.00513738595872882,0.00627333141194749,0.0121053744710698,0.00676141981482485,0.00220356082669464,0.0957402374190345,0.0135505199108815,0.0370628662688888,0.0019079671575427,0.0769559080142968,0.00132262072922147,0.10682819412099,0.0193165196411078,0.0205896543573015
"ENSMUSG00000006311",0.0133925305918835,0.0101065657425374,0.00486452702949357,0.00901827365689073,0,0.0211164377957565,0.00695711928296913,0.022521520140371,0.00500167120515992,0.00637522789921039,0.00606530608683195,0.0150706463524333,0.0192201278624204,0.0251892301030704,0.00626944998106136,0.00705393238025791,0.068026592457728,0.0849742923778603,0.0124595377574449,0.00462413127863457,0.0116016242229756,0.0218160577260371,0.0797888573355039,0.0199138653853571,0.00699369800245487,0.00868053062744468,0.00733119505916357,0.0587407989234175,0.00485113304573814,0.0192785091858802,0.0067327696455739,0.00615310362655793,0.00341698642510963,0.0150075887139182,0.00469409456855416,0.025989631856091,0.00754177957051599,0.00818081904487126,0.00584139500456122,0.0055099860437266,0.0592146488116044,0.0139263592033684,0.00882417267403169,0.0076933378928799,0.00651400375503428,0.00919612237393977
"ENSMUSG00000008999",0.0140820504533288,0.00295601226725909,0.00351420595076067,0.0152723242230408,0.0178318227324187,0,0.0665839782859968,0.00882907927474398,0.0522150058061089,0.0129776869063739,0.0865463426198068,0.0366361913888478,0.0320677559049831,0.0528599457477756,0.0673504063082332,0.0132530100313037,0.0234346174805722,0.0250522053522519,0.068179479402132,0.00337739254205915,0.00697003581755846,0.0479053821434616,0.0204527917843141,0.045381532535017,0.00843024696076243,0.0617123314459162,0.0243529101979019,0.0127878871585406,0.0821619276904648,0.0148184451022908,0.00577615775682291,0.00289748417354441,0.00415856698143643,0.0499385928557046,0.0752094496141058,0.0428371109683297,0.0257861174851222,0.00541795866167703,0.00608212683250716,0.0237386886776724,0.0148095826260744,0.013335855202834,0.0357870382458648,0.00509427370971953,0.00537931606541124,0.00926908602717836
"ENSMUSG00000010660",0.0276039296390314,0.0112556286362438,0.00698239928439445,0.00923690253514717,0.00804540821821326,0.00970128165285376,0,0.0208047706273983,0.0162521568936457,0.00823887680744955,0.0194158392970363,0.0397587683866126,0.0934534691040024,0.0127193245555575,0.0498749029623084,0.0457352285208239,0.00885971440476386,0.0160164161423094,0.012538848589841,0.0038618667043464,0.00806091919073591,0.0101763482120576,0.00498270191123796,0.0173196114257318,0.00967150562347262,0.0170288171559019,0.0149108789000767,0.00638383439635574,0.104600657487243,0.0127435085634728,0.00390670314831325,0.00472735497179798,0.00439398120645538,0.0103066712557273,0.0182668913077542,0.00651216007668316,0.123422975421146,0.00375164365157411,0.00161272804483674,0.0143403728401351,0.00537289506044499,0.0127282776986052,0.0206642244192947,0.00344442365953451,0.00640483723807141,0.00822362711686334
"ENSMUSG00000014846",0.0231420815548628,0.0337708265317835,0.0205431988582895,0.00557957268141662,0.00811954878978317,0.00276468895486007,0.0120586078474536,0,0.00324613082227037,0.00951360755695211,0.00319801289736381,0.0061082729237032,0.00781352013914592,0.00145672834844435,0.00284689050042208,0.00872083479321042,0.0146462740412248,0.00531478027901211,0.00367898794088334,0.0186381654021975,0.0148668783981241,0.00542943021311712,0.0297398924999375,0.00260935842047921,0.0523808179890112,0.00596974349934832,0.0258756639753633,0.0147023910403084,0.00552904657999006,0.0115539431184813,0.0146061073596033,0.0253137433327583,0.0208204998085459,0.00321177899218218,0.00151938390537277,0.00163407371982089,0.0134706217911322,0.00636610378945921,0.00913196064668324,0.00604178331445152,0.0229411529228942,0.00881502132236927,0.00252541749446526,0.0105049113816334,0.0152008618680749,0.0112795384648676
"ENSMUSG00000015053",0.0413755438308543,0.00392886795960829,0.0104917517546114,0.00548743719158249,0.0147104652709194,0.0502307404067902,0.0143712236931286,0.0315936585468367,0,0.00356278426182609,0.0254296822725318,0.00357870780541749,0.0249889739757932,0.0482870887056898,0.036946742576254,0.0125588024275702,0.0175490419156214,0.0237326293020427,0.0394984458941864,0.0188393463198798,0.00383188981972744,0.0458772941036152,0.0357137657050154,0.0432041087603122,0.0842745145015943,0.0510560929627625,0.0198314030396446,0.0107746773331126,0.0139498176298011,0.0190807600235884,0.00718111004716268,0.00653254785535263,0.00668215283770429,0.0559888701502734,0.0682093844006071,0.0502681713314585,0.0193987715941734,0.00215498386921549,0.00375243824867284,0.00620334646769406,0.0116796346929228,0.00760942273440238,0.0493397732449935,0.00469307386709965,0.00661531324919582,0.0134529066608155
"ENSMUSG00000020303",0.00478425104904056,0.01364574148035,0.0374427173359528,0.100405088795797,0.0235930218001114,0.00389841736206722,0.00940426256827506,0.0266647362426836,0.00251470113948072,0,0.00684331997656943,0.105360427548659,0.00123615917958235,0.00528561673304655,0.00276181581958159,0.0639105078549551,0.00170011343836436,0.0257687339787496,0.00733484451738612,0.00859269514009975,0.00425924130560433,0.00264511078051513,0.00367078563103228,0.00290773101112317,0.0130415524748166,0.00662880380991864,0.00817000983054619,0.0123794713928125,0.00689410980606117,0.0156530474902297,0.0369232266197839,0.0891307227300212,0.0189874704267379,0.00676191254419709,0.00634640308449936,0.00563367176577267,0.0038160897837716,0.0425113348089026,0.0026365044971552,0.00207265318542823,0.00398105368686742,0.0635649834934421,0.00342928498009245,0.0512684892373414,0.0612118337756732,0.011785538246959
