"","ENSMUSG00000000730","ENSMUSG00000003031","ENSMUSG00000005566","ENSMUSG00000006205","ENSMUSG00000006311","ENSMUSG00000008999","ENSMUSG00000010660","ENSMUSG00000014846","ENSMUSG00000015053","ENSMUSG00000020303","ENSMUSG00000021255","ENSMUSG00000021256","ENSMUSG00000021477","ENSMUSG00000021939","ENSMUSG00000022286","ENSMUSG00000022382","ENSMUSG00000022528","ENSMUSG00000023333","ENSMUSG00000023990","ENSMUSG00000024140","ENSMUSG00000028195","ENSMUSG00000029556","ENSMUSG00000029646","ENSMUSG00000030551","ENSMUSG00000031326","ENSMUSG00000031844","ENSMUSG00000031995","ENSMUSG00000032487","ENSMUSG00000037664","ENSMUSG00000038151","ENSMUSG00000039191","ENSMUSG00000039329","ENSMUSG00000039337","ENSMUSG00000042357","ENSMUSG00000042367","ENSMUSG00000045005","ENSMUSG00000046179","ENSMUSG00000046352","ENSMUSG00000049382","ENSMUSG00000050953","ENSMUSG00000052837","ENSMUSG00000052854","ENSMUSG00000053113","ENSMUSG00000056501","ENSMUSG00000057615","ENSMUSG00000092035"
"ENSMUSG00000000730",0,0.102433685819756,0.0402770454685907,0.00398211238015481,0.0101015916113863,0.014305687306354,0.0233304196726222,0.0478249475454708,0.00436479767035194,0.00900370420601359,0.0043390200172424,0.009457055879146,0.0148649044677355,0.0107431868700359,0.0265454611627526,0.00774106971308718,0.0210004921231969,0.00869821578195983,0.00136690477096515,0.0415416238048478,0.0176132386166716,0.0136224710827183,0.00938491792163121,0.0252849817535319,0.0892476666245913,0.00270248730722148,0.0520791435706317,0.0399303258285891,0.0280138511887287,0.0217553551555964,0.0183228675265034,0.0219343683175923,0.0630661481450469,0.00446544796672009,0.00317870106545181,0.00461181837416479,0.0480136297414593,0.00485200182781569,0.00850509093089287,0.0135693791869665,0.0426787410850941,0.00539772621692275,0.0112801482296704,0.0058062922281605,0.0392974538614504,0.0294894769358816
"ENSMUSG00000003031",0.0395215977059202,0,0.0639476777338426,0.00397376458188681,0.0142815112688973,0.0141013165483649,0.00704812873119215,0.0146218015477493,0.0214149425720675,0.0215328940914229,0.00615532771414234,0.0129319826775857,0.014776321103648,0.00841745276226777,0.007490684066141,0.00569922160678588,0.0047638188952091,0.018928769752629,0.0191390083247338,0.0152843433405665,0.0190249289656072,0.0274275155403212,0.009757900673507,0.0121135189870051,0.014143771741194,0.0154392444110029,0.103657950663108,0.00614211639921745,0.00950332158430347,0.0186689864322432,0.00732078317346825,0.0157869412471215,0.0342873614176666,0.0195583668559552,0.00462289309659795,0.00824299679251487,0.0221468354364491,0.00369155154453394,0.0174865054639782,0.00448185137610254,0.014334893461797,0.00555554746017683,0.0205467954763951,0.00337154559887865,0.0453713660360647,0.017722121117028
"ENSMUSG00000005566",0.0193415186435697,0.0253034526401204,0,0.0117270605974244,0.0133503215090799,0.00282742775749601,0.00498822571279097,0.0306618494149674,0.00211442152262971,0.0128768171689222,0.00202544524609374,0.0200128421587879,0.00294740296449129,0.00254095318535263,0.00423917129080404,0.0115539190280116,0.0036356193937615,0.0073115445839508,0.0039265419446857,0.0348672151101108,0.028205495279006,0.00332086403966801,0.00525888876902928,0.00246174694980159,0.0139898929521387,0.00211508137038993,0.00360047669389999,0.00411741935002185,0.0120241365038186,0.00727519757151363,0.0397500444452119,0.0254386505473123,0.0414268437601824,0.00272484792657076,0.00131388824149865,0.00243114877983417,0.0245356056011803,0.0316829465286276,0.0187421715806061,0.0176510025920354,0.00827290372139681,0.0116151998910451,0.00331131204773435,0.0229480183748126,0.0903131877472461,0.025362361278479
"ENSMUSG00000006205",0.00220974101221586,0.00301982724226629,0.0290108652907231,0,0.00901034562877571,0.00177826184185292,0.00593139566489908,0.0164134645270416,0.00203189517910284,0.0234300147284453,0.0302765006962882,0.0936817310097102,0.00276773494402665,0.00585972944402074,0.00490369851349869,0.15581838256548,0.00380201433942424,0.0064303734219212,0.00482750679737109,0.0165064590653522,0.00753884658590124,0.00148180170716432,0.00580059501788711,0.00987077676042831,0.00705374788508337,0.0037441705218728,0.00683581318488955,0.00762424261562398,0.00795907748482124,0.00599610567803948,0.0320451848657751,0.0242549387405199,0.00839682505612259,0.00380331749457436,0.00627366284851586,0.00904262391964933,0.00417026104300878,0.082503517566622,0.0100169501029462,0.0324439590927263,0.00588536890315117,0.0598620791777333,0.000388865699291176,0.0770475108098237,0.0319603327880121,0.0366372836599189
"ENSMUSG00000006311",0.0117779624126508,0.00999383159746316,0.00677533919397576,0.00907657065976892,0,0.0204947190258574,0.00357828977125104,0.0278599806446113,0.00875925380231815,0.00470449350472511,0.00361170977692151,0.0103417848212429,0.009028469686982,0.0127297367296517,0.00357218447654533,0.00697352237211983,0.0739698037244478,0.0975286930357055,0.00473152170623126,0.00411227200409302,0.00555871634145372,0.0148471124803467,0.0730117677849422,0.0198726103097338,0.00567782663242306,0.00737448924529559,0.00831165574317876,0.0341361908502684,0.00284556403090817,0.0284404070686539,0.00372685472198869,0.0024309330257729,0.00591147621569413,0.00480675705416513,0.00796242163998741,0.0241608101215166,0.0102226228605668,0.00462518149499869,0.00385898350325615,0.00349603878878866,0.065695077335322,0.00874145922344773,0.00847010211777025,0.0112340766357894,0.01021811673256,0.00743555263359688
"ENSMUSG00000008999",0.0124505704765134,0.017669660812867,0.00551531086907939,0.00844377507262451,0.0203112164327304,0,0.0620523424856512,0.00739144378385785,0.0613520320830492,0.00733747261271521,0.0534259209219538,0.0390921937700777,0.051522886017137,0.0484360745617083,0.0547335503251796,0.0051328741678897,0.0279580815219096,0.0330411280499171,0.0580665504823364,0.0057425094822555,0.00507698829301561,0.0532574084689304,0.0247669474726673,0.0522881488496285,0.00887462543680423,0.0592821941907678,0.0294993342293385,0.0147254169971685,0.074996470546996,0.0245698731712574,0.00348254943460024,0.00400487182441034,0.00394188848421,0.0597447741932731,0.0539950816013897,0.0550490341036662,0.0218353531122503,0.00380992940074113,0.00432377469545387,0.022606812188123,0.0170905868812698,0.0196500904437441,0.0406259974973472,0.00126682728516637,0.00291382609255687,0.00821965705532078
"ENSMUSG00000010660",0.0287124182366378,0.0161511197293875,0.0086749593746501,0.00648939650602699,0.0827661466382057,0.0107063943640135,0,0.0164136923820526,0.00853363971819731,0.011313235798402,0.0247916281978224,0.0250508359678194,0.0709617132481719,0.0359445664393361,0.0817722831740134,0.02071734420305,0.0089748361418615,0.0316117812474576,0.0212454085976372,0.00518958400051,0.00612826077648589,0.0154599280343548,0.0123150151517649,0.0230791874076852,0.0211978541751273,0.0288713461351535,0.0209466980884867,0.0134707050908958,0.121528196290532,0.0098983297374969,0.00306796949191829,0.0063569088354066,0.00499586957258874,0.0239745291051854,0.0428114354650466,0.0163465830777587,0.0823310159733718,0.00339708498108741,0.00283215807655291,0.016630557193473,0.0153557400377719,0.0142204685375713,0.0384116244245975,0.0124692935305652,0.00497233204693193,0.00913132169083384
"ENSMUSG00000014846",0.0226900199563849,0.0592495948925462,0.0221514635185151,0.0036297723395082,0.0075683565734347,0.0046807258722929,0.0121509307709429,0,0.00250804568495755,0.0135716921085159,0.00750971997831898,0.00708098146614136,0.00894459460670033,0.00387837701532256,0.00305369090505052,0.00177789698091707,0.00529837258503553,0.00930622256711051,0.00179733774520479,0.0193523307366503,0.0331168472602898,0.00382782937543341,0.0168609767656028,0.00528326288104376,0.0466370849326189,0.00222133949107305,0.0218069595473148,0.0105942385128633,0.00832060922927569,0.0113468764693538,0.0175027223514366,0.0224085563599353,0.0253740124905067,0.00197898793673676,0.00511888349441698,0.00510584906830215,0.0130776947080299,0.0165292554270919,0.0298117688246965,0.0290171764600769,0.0167753058594324,0.0129250807804097,0.00405473991466475,0.00762344739551894,0.0101860868057947,0.0102488059782093
"ENSMUSG00000015053",0.018525954135651,0.012088165597769,0.00600356317549604,0.00469108945528945,0.0104008848030957,0.0469049163325902,0.0231968512259547,0.0159195107286287,0,0.00978541910078257,0.0248360247933113,0.00439665028222218,0.0386174155243733,0.0563191732849355,0.0246981069506794,0.00897866047330236,0.0177817584465411,0.021289281930221,0.0690549627001931,0.0104854284634387,0.00222401858278633,0.0603448600879577,0.0335613136178138,0.0519806364543337,0.105003681521067,0.0527427921009868,0.0335339764650306,0.0103547968673287,0.0170153621440768,0.0346710918986786,0.00834697400617041,0.0126926965343231,0.0114009318061447,0.0552656450100833,0.0637921459712623,0.026683088711406,0.0173197455437669,0.00245809642482592,0.0025038361058747,0.00813145298003144,0.0093457707691261,0.00591190561940003,0.039779454531187,0.0023842228531296,0.00598205124017065,0.0100405066230186
"ENSMUSG00000020303",0.00533923783329375,0.0123616890985095,0.0210033948775855,0.107665992805213,0.0254756659024121,0.00570387014822516,0.00521744264203635,0.0370717555436763,0.00246064697868379,0,0.0069845866160815,0.0733087801325757,0.00490613823433364,0.00495705957221527,0.00279565240389491,0.0446655812296514,0.00302012612282513,0.0258961322973763,0.0083021600597419,0.0110342812782548,0.00471491883817749,0.0058477841564333,0.00265914609234322,0.0071983115606874,0.0217033423341381,0.00937979863106306,0.00776832298249056,0.00661702634192856,0.00915870524849071,0.00892572703195444,0.0415018419921141,0.07365386654365,0.0200871135037037,0.00719200588481114,0.00859925409791722,0.00701470545886283,0.00418586907996387,0.0135993327462553,0.00362266619281716,0.00354967209546292,0.00270002952296911,0.0542446676933137,0.0058922196308741,0.0276531526279496,0.0617358227648638,0.0197282430719842
