"","ENSMUSG00000000730","ENSMUSG00000003031","ENSMUSG00000005566","ENSMUSG00000006205","ENSMUSG00000006311","ENSMUSG00000006724","ENSMUSG00000008999","ENSMUSG00000010660","ENSMUSG00000014846","ENSMUSG00000015053","ENSMUSG00000020303","ENSMUSG00000021255","ENSMUSG00000021256","ENSMUSG00000021477","ENSMUSG00000021939","ENSMUSG00000022286","ENSMUSG00000022382","ENSMUSG00000022528","ENSMUSG00000023333","ENSMUSG00000023990","ENSMUSG00000024140","ENSMUSG00000026934","ENSMUSG00000028195","ENSMUSG00000029556","ENSMUSG00000029646","ENSMUSG00000030551","ENSMUSG00000031326","ENSMUSG00000031844","ENSMUSG00000031995","ENSMUSG00000032487","ENSMUSG00000037664","ENSMUSG00000038151","ENSMUSG00000039191","ENSMUSG00000039329","ENSMUSG00000039337","ENSMUSG00000042357","ENSMUSG00000042367","ENSMUSG00000045005","ENSMUSG00000046179","ENSMUSG00000046352","ENSMUSG00000049382","ENSMUSG00000050953","ENSMUSG00000052837","ENSMUSG00000052854","ENSMUSG00000053113","ENSMUSG00000056501","ENSMUSG00000057615","ENSMUSG00000092035","ENSMUSG00000115958"
"ENSMUSG00000000730",0,0.0967610150285192,0.0301684266987876,0.00245560740205539,0.00508611931027592,0.0213799285711078,0.010404881088573,0.0344974947996203,0.0354729351338089,0.00896795866121925,0.0108762527417003,0.0034686096259637,0.00924223924277463,0.0477732505646146,0.0076499544820575,0.0431853316609399,0.00772607975874139,0.0164419232049059,0.00771225735969124,0.00423190097002472,0.0395539013065644,0.00522637430177664,0.0150359371317061,0.0140309837232309,0.0146260300024654,0.0263204307104484,0.104294450236057,0.00775763060844802,0.0843364941116514,0.0112795162242071,0.0247945887117921,0.0287029758412279,0.0174284934766892,0.0125749288116707,0.0359841590804498,0.0102984493988916,0.00412150694289045,0.00552677972677943,0.0425076243766484,0.00253216384887093,0.00827993664421088,0.00451602703254791,0.0246838624879423,0.00609074015447305,0.00458655087690514,0.00394308600284388,0.0314104237013734,0.0372209465605089,0.00974896325906018
"ENSMUSG00000003031",0.0271941322114145,0,0.0832821413831774,0.0037800313989513,0.0154529122445205,0.0146593622514039,0.00553384608063418,0.0133832479080438,0.0143482875319113,0.0063701642868992,0.0108375203150185,0.00551106186619395,0.0100555982285649,0.0230106463722675,0.00458751095035278,0.0129225518585318,0.00801896077027358,0.00619645544635341,0.0121837906536794,0.00581549567947744,0.0218399141773251,0.00927788749805112,0.0379990805540351,0.00878057606644585,0.00399250823740168,0.00723972212464096,0.0116834969742047,0.00798080984249283,0.0878874638524446,0.00378738186920647,0.0204094174801918,0.00985521592165618,0.0140857201046457,0.0256545863403742,0.0568409469341434,0.00577810732716118,0.00445449812276532,0.00486149474728709,0.0348890070299548,0.00572346311141725,0.0182757939898049,0.00950534285819404,0.0157150119824659,0.00504251186750589,0.00835936789278101,0.00855856721315043,0.0597266565783867,0.0245069164551864,0.00520215006126396
"ENSMUSG00000005566",0.0286065765711571,0.0806235834773943,0,0.0137363008992537,0.0072993355222657,0.0498065444120807,0.00305763472700395,0.00359829640499581,0.0223031015944505,0.00143719996779337,0.0422451435614615,0.00266117825386081,0.0288587104107398,0.00685005162347232,0.00328468600401718,0.00467357305301322,0.00849729210902253,0.00358808947446324,0.00563843097051818,0.0050112232928911,0.0890179292937168,0.0130359885106707,0.0140896533606021,0.00577297924064337,0.00228559608578677,0.00306991898217491,0.0191804291951171,0.00419563235971959,0.0219786458328595,0.00748155045114496,0.00708496288197694,0.00551561208070883,0.0386297958901784,0.0451818779705369,0.0788086041617598,0.00220647980648655,0.0035688933183145,0.00218938503432693,0.0096440378157596,0.0350471454553321,0.0180661338668625,0.0250394857293454,0.0116099221733058,0.0114449842278047,0.0025930624753511,0.0263509506165853,0.134445817932817,0.0495003722993203,0.00265472586488889
"ENSMUSG00000006205",0.00521833970581025,0.00657685840315487,0.0217800183851167,0,0.00794970560849916,0.0155135507535886,0.00231679863700322,0.00790491589410986,0.0146378720696479,0.00135900487570761,0.0385119270443274,0.0512473870576538,0.0927457976626366,0.00480713378435098,0.00655982807168479,0.014305681065737,0.137527050539089,0.00433452976793899,0.0202056614523362,0.00927819072864497,0.011484326943694,0.0217805572969872,0.0140555598108312,0.00200914077706126,0.0030406857445548,0.00981227545379531,0.00706319709999283,0.00603740174378828,0.00450185078370416,0.0120000650349728,0.00813498805678475,0.0129037377717813,0.0296310309059554,0.0279223544426023,0.00637450908783262,0.00398247146545639,0.0102453567043347,0.00535654327427332,0.00267156425521725,0.0790782847508762,0.0205217037442518,0.0472800229672033,0.0050317008300149,0.0819911102978794,0.000668321755096835,0.081028419231379,0.0150585129748654,0.0225290246053206,0.00798983301872503
"ENSMUSG00000006311",0.0115571321820554,0.0152033808238202,0.00518336371805058,0.0101148318671968,0,0.0068865948325976,0.0171206052946257,0.00799233881640807,0.0255753036573828,0.00450760588388588,0.00829345561161661,0.00418438495257482,0.0164592860933674,0.0163014920959061,0.0191559563800795,0.00581672286753662,0.00644564696005182,0.0751451562533102,0.0718133807465363,0.013515988364488,0.00546304394188431,0.10616730058649,0.0134838760021257,0.0163066344153872,0.0693637415081136,0.0279129011569979,0.00615362940646621,0.0104097903833929,0.00665751553448657,0.0616657324196557,0.00600458925509379,0.0186906268975488,0.00567478392759815,0.00275173237929209,0.0048511833636968,0.00690742104451095,0.00776274081645122,0.0236181765868786,0.00727619913406393,0.00525727599953217,0.00506619972036138,0.00292336493237549,0.0604811228365941,0.0107197480022195,0.00401588833034913,0.00688276669278065,0.0082853189920384,0.00939921963296901,0.0101507672538416
"ENSMUSG00000006724",0.0205656802629969,0.0133478405961597,0.0501051334898611,0.0330221963114573,0.0162743172599329,0,0.00565787194137532,0.00318694602142922,0.0149817193427271,0.00518317845474834,0.0275453222878691,0.00285241999513571,0.0287639566104724,0.00364359586499585,0.00411870826420103,0.00183692108190162,0.011095269057906,0.00589789945142364,0.0153650756457419,0.00339592491941127,0.0478196662117027,0.0318317838211527,0.00242258402010158,0.00634520157949499,0.0103224044498918,0.00387980120930539,0.00670697454161086,0.00354467868814801,0.0102024923157126,0.00872431364746193,0.00267455172801593,0.00647885005481063,0.0812112247829761,0.0143166059730104,0.0388789723382235,0.00284980465620324,0.00451971389969703,0.00461587634193872,0.0031264431575328,0.00419860374380786,0.00544995568783393,0.00160006783104878,0.0035917302996927,0.0310263947663061,0.00497410659303505,0.0130627695782276,0.0666040698178876,0.0377716398825372,0.00401550069606723
"ENSMUSG00000008999",0.00992751427620126,0.0067656952804942,0.00608948987833737,0.015350830721655,0.0172921769352374,0.0062951315014078,0,0.062925187509239,0.00822882979627223,0.0624350057709875,0.00859547352828017,0.0612749627622658,0.0321139215199974,0.0270606449567951,0.0553728494144505,0.0595921820735337,0.0175025031944528,0.0316264733329513,0.0344628674426851,0.0535209696088283,0.00455860779670359,0.00292458087363789,0.00464217835597787,0.046687123545192,0.0238499374586209,0.0465222644630157,0.0116468814172335,0.0584807750677355,0.0238558405921885,0.0142507319895609,0.0911282009802776,0.0233248401732872,0.00381275361148705,0.0026540405867474,0.00379499857845788,0.0385913360864156,0.0656135067038552,0.061401772982585,0.0366388824463075,0.00382020676000656,0.00496947626897031,0.0234661380716041,0.0202395981015658,0.00994444156432677,0.0461010529176059,0.00553711970193467,0.00372963641635545,0.00929573982969983,0.05828465341643
"ENSMUSG00000010660",0.03846848190774,0.0121371072024443,0.00529597606755759,0.00812244818275052,0.00499697328481337,0.00421316506569308,0.00549456052700482,0,0.0266313485424585,0.00566664709941015,0.0133667383220235,0.0161328818352542,0.0363035952026353,0.0785925301145871,0.0157263173687259,0.0460308711653592,0.0460235077911878,0.00472054585718509,0.0180920736358832,0.0141412610810204,0.0042435569279352,0.00869754468443886,0.00734309111498149,0.00656966735876989,0.00402255635620085,0.0105413127174358,0.0117221979677876,0.0139643782526268,0.0116540656616805,0.00914717162096947,0.110179497441298,0.0158157507597093,0.00274861151676214,0.00250618952892068,0.00438148346225775,0.0150783923903996,0.0204966302781475,0.00271798485341814,0.09459359221615,0.00186786325734267,0.00372836841950513,0.0144388648506489,0.00997298802176939,0.0126885866449916,0.00625673561714333,0.00273425997496529,0.00528164934686975,0.00923553798644112,0.00619798008683966
"ENSMUSG00000014846",0.0233435886883309,0.0266627920180784,0.0202004964863178,0.00274385247839223,0.00477624393584446,0.0215410701109754,0.00332005044772779,0.00997824001403941,0,0.00216877372071019,0.0133554611709507,0.00356924349095744,0.00759415069076304,0.00780240929195293,0.00266251513288075,0.0030046743632903,0.00563559566964963,0.0106299551252766,0.00540496654729947,0.00283397140854504,0.0282975457703145,0.0101025061175675,0.0221470899181745,0.00209366362083718,0.0214722660160443,0.00500867240722009,0.0560228121362,0.0031184123213921,0.0232743501331236,0.0129425115585653,0.00682903961473252,0.0120068698260128,0.0193526260815153,0.022763957937267,0.0263093533222942,0.00181270720448011,0.0018470778490292,0.00121667376671289,0.0140205819729296,0.00340911619375251,0.0409088599878223,0.00866977191222085,0.018898043295925,0.00868714167329425,0.00224576212329276,0.00588906153054811,0.0115045441887336,0.0129260623163218,0.00183387566401059
"ENSMUSG00000015053",0.0232532024440981,0.0064043866678022,0.00760224314373364,0.0046339809124773,0.0145241168872401,0.00778069243774748,0.0513427577307456,0.00869585830673622,0.0147496351599086,0,0.0039688967108369,0.0229540098221104,0.00463985056451986,0.0282966144341092,0.0572270409783066,0.0232171877246111,0.0158489818850225,0.015497645964975,0.0184938544851492,0.046157152946702,0.00745416972690649,0.00920756671844029,0.0055732052218718,0.0564373684262309,0.0279583363860107,0.046329043161607,0.0800414536636564,0.057451726291226,0.0256883998213666,0.0132439982648369,0.00767280183817233,0.0143138801404933,0.00690195297854684,0.00742175599209998,0.00496193752702135,0.0464778997283832,0.051297094417136,0.0364174258291425,0.0107317016223377,0.00398525008154343,0.00763276516773882,0.00629938711426771,0.0117462542171356,0.00420663023397388,0.0516680720012632,0.00256899575625576,0.00785468661817772,0.0122545156454273,0.0415117399799742
