"","ENSMUSG00000000730","ENSMUSG00000003031","ENSMUSG00000005566","ENSMUSG00000006205","ENSMUSG00000006311","ENSMUSG00000006724","ENSMUSG00000008999","ENSMUSG00000010660","ENSMUSG00000014846","ENSMUSG00000015053","ENSMUSG00000020303","ENSMUSG00000021255","ENSMUSG00000021256","ENSMUSG00000021477","ENSMUSG00000021939","ENSMUSG00000022286","ENSMUSG00000022382","ENSMUSG00000022528","ENSMUSG00000023333","ENSMUSG00000023990","ENSMUSG00000024140","ENSMUSG00000026934","ENSMUSG00000028195","ENSMUSG00000029556","ENSMUSG00000029646","ENSMUSG00000030551","ENSMUSG00000031326","ENSMUSG00000031844","ENSMUSG00000031995","ENSMUSG00000032487","ENSMUSG00000037664","ENSMUSG00000038151","ENSMUSG00000039191","ENSMUSG00000039329","ENSMUSG00000039337","ENSMUSG00000042357","ENSMUSG00000042367","ENSMUSG00000045005","ENSMUSG00000046179","ENSMUSG00000046352","ENSMUSG00000049382","ENSMUSG00000050953","ENSMUSG00000052837","ENSMUSG00000052854","ENSMUSG00000053113","ENSMUSG00000056501","ENSMUSG00000057615","ENSMUSG00000092035","ENSMUSG00000115958"
"ENSMUSG00000000730",0,0.0875287933530981,0.0270867457047622,0.00668493487434527,0.00653691490690466,0.0443127253368973,0.0113301595255789,0.0202264243172407,0.0416435228347515,0.00445410497107813,0.00722284930272768,0.00468858827672146,0.0103280775660499,0.0181123154962818,0.0129836131527379,0.0235983084986454,0.0128265402855993,0.0184283185113048,0.00977489391557594,0.00353224408078373,0.0415512100280506,0.00484374764850892,0.0194235255562769,0.0154673101284104,0.00740267304763329,0.0167046576336467,0.100660730440368,0.00579914236415276,0.0475639263994335,0.0427209039542228,0.0418592564332554,0.0192641116592003,0.0218411876108541,0.0239453179299173,0.0671257792009968,0.00515664457288323,0.00436381527994445,0.00281163505827738,0.0518185812194013,0.00515069728573225,0.00716446570109095,0.00441419958074153,0.0461307015218016,0.00447802649941898,0.00440614278237863,0.00608054083178543,0.0331834732373912,0.0327361225900171,0.00859887042871171
"ENSMUSG00000003031",0.0285562555266598,0,0.0691741151572782,0.00537600388415247,0.0148204707409505,0.0143958695823967,0.0163866012501123,0.00560787875388822,0.0153454329316966,0.0127872561642871,0.0156893742539657,0.00497924680205724,0.0138139205807987,0.0191612593880229,0.00833566847335609,0.00411191134576603,0.00775739577354841,0.00555411630663546,0.0194742770233226,0.0127240810487343,0.012500245656705,0.00513348178510831,0.0228166013768372,0.0176278418469266,0.00927304562499638,0.00623172253714683,0.0112637959602867,0.0117715305397859,0.0807844847899784,0.00441452835097274,0.0102142963127692,0.0163539851034223,0.0062145486609254,0.015036545896521,0.0327134284024317,0.0158489442601253,0.00490691112895978,0.00928056659272736,0.0242941121010295,0.00287164080613003,0.0124657005721953,0.0083526532127425,0.0119039304244235,0.00440286389505603,0.0264982945372074,0.00385459552206404,0.0465220636876556,0.0179366693971435,0.00972592792701971
"ENSMUSG00000005566",0.0154155884849198,0.0263487815722069,0,0.00959802708372854,0.00592854331243607,0.0419233487923873,0.000944568829162078,0.00766987456394405,0.0202213907887229,0.00153567753741288,0.0109596330133771,0.00255986464743724,0.025172673934512,0.00320192692602034,0.00170608210074643,0.00288613350025098,0.00843891149526337,0.00326307052572584,0.00575806771914298,0.0020335328030454,0.0332674114529542,0.00755594945376331,0.026992092853125,0.00285293797008322,0.00744564914420468,0.0030902254040215,0.0179704276729917,0.00147685549293268,0.00504893689638217,0.00876117759755741,0.0108443757289106,0.00583981483938319,0.0277106854263967,0.0302970135492854,0.0431363832770712,0.00207031144431749,0.00126533594940812,0.00343058886084148,0.021554400727058,0.0315793843033745,0.0146735911541476,0.012064292701948,0.00737567633278205,0.00813007925441958,0.00203166436215575,0.021213349017217,0.0654397531338769,0.0217122070837902,0.00206614864175929
"ENSMUSG00000006205",0.0045774950415509,0.00278690066707992,0.0256351508720409,0,0.00510243534193285,0.0116669248680267,0.00204865208556243,0.00665778010804903,0.0147166655826926,0.00131166611254369,0.0176237670748226,0.0296758131731022,0.0937915221138285,0.00202172210503487,0.00500352529702106,0.00607651401215436,0.138945942563168,0.00356519260993506,0.00895344722059309,0.00350813096990544,0.0172273988434185,0.0124003094828175,0.010430091861881,0.00167086084061054,0.00396153968896094,0.00844382152875144,0.00901785788418161,0.00365412134932517,0.00503014806444412,0.0165457754064801,0.00766006248566175,0.00531228913459423,0.0336600181201471,0.0204730658329109,0.00675559025770022,0.00391455152621514,0.00886878975560037,0.00885269731515008,0.00456426092866224,0.0766129888617695,0.0133204585434216,0.0282574997278693,0.00511105178606392,0.0641573104598498,0.00166091932706701,0.0710280864814725,0.0264101043529042,0.0326464616844183,0.00565726813057207
"ENSMUSG00000006311",0.00977841278882407,0.0119405667280017,0.00660783343348303,0.00891706398392291,0,0.00451735338906838,0.0199938284059376,0.00305942634433055,0.0310974239999372,0.00617864405439742,0.00312561166071862,0.00365314985781304,0.00813189125357112,0.00938961635556313,0.0158481644821756,0.00261115983431016,0.0071012186468927,0.0746873122916399,0.0856997288075402,0.00402505156582199,0.00475576080445157,0.106383234393623,0.00524953239959386,0.0101937088972019,0.0831896912173168,0.0209788473817257,0.00383841568669869,0.00624728448887972,0.00200136294236204,0.0445440038254288,0.00387647232696456,0.0211059673224757,0.00464958976599626,0.00160080135903397,0.00561850149209529,0.00536378453519303,0.00463663683987045,0.024300262375577,0.00756896483583337,0.00474252280493604,0.00407862743536688,0.00430872321054727,0.0478892400920333,0.0105066733363729,0.00469346274009559,0.010259485393973,0.00780049127723059,0.00536596983730571,0.0108534443866109
"ENSMUSG00000006724",0.0295860177225609,0.00986952639225653,0.0558513206911544,0.0101449124631407,0.00915434087624787,0,0.00516612304039347,0.003048078438644,0.0137209826164255,0.0035150904207952,0.025180590353577,0.00303120181630355,0.0094824681888508,0.00186684615308613,0.00235295419395013,0.0043803984135844,0.00731016300748796,0.00394868831494707,0.0114291268163106,0.00229337588931691,0.0743486499283595,0.0193285840981371,0.00239465154371283,0.00409366732550121,0.00454579087902574,0.00396221973239264,0.0106381941252687,0.00261613315827203,0.00991864248513043,0.00717246001878673,0.00278428495392787,0.00346166632511867,0.0656687110861101,0.013699916273427,0.0752666303626429,0.00352473906885657,0.00295570281352608,0.00231549086008959,0.00394990542446736,0.00554481372709168,0.00357353092618333,0.00309575848797365,0.00459755140660977,0.0125657571691523,0.00554901830446266,0.0118699327206331,0.0918403521212999,0.0677638788245731,0.00396831811270396
"ENSMUSG00000008999",0.00947800510244651,0.01443537239004,0.00536967215763082,0.00808037113044149,0.0153390978341405,0.00812233004989563,0,0.0583732505946872,0.00981221726913014,0.0570802809452034,0.00705825398952076,0.0625827356353332,0.0401956457801386,0.0344803525767428,0.0508001224737286,0.0569329246895382,0.00727772378693801,0.0385862938624227,0.0353916523720194,0.0552015234426754,0.00488251145713097,0.00596863989563315,0.00293792150761957,0.0509339900957623,0.0239089923347287,0.0670247217589726,0.0118409313206165,0.05455077546782,0.0407305016830354,0.0158805923547061,0.0631953350986511,0.0261299961791428,0.00505463008347524,0.00383279391214783,0.00329796190094546,0.0562521237713569,0.054454218861545,0.0478816830014476,0.0225051677989812,0.00239057717193778,0.0037228947949165,0.0261739079457006,0.0191301566957322,0.0163455368089509,0.0496620703227747,0.00348775435246056,0.00325361809272495,0.00594634668591457,0.0542461171432454
"ENSMUSG00000010660",0.026864060956275,0.0163321386655846,0.00877699538394593,0.00682920563321443,0.0878941774333747,0.00423547527609384,0.0198661840750249,0,0.0152980579584075,0.0127722963511047,0.00972271424247828,0.0299666720176631,0.0192842037238127,0.0589007163834733,0.0477678218721958,0.0719500185685028,0.0188699066109408,0.0155628049196787,0.0351149117868152,0.0282641536933946,0.00396419111424378,0.0877991462826425,0.00780274031399627,0.0223915706183343,0.018859840227858,0.015230955500845,0.0259099751454691,0.0332818605926897,0.00521390995664872,0.0178209485301122,0.0901685606708549,0.0130117942163188,0.00428359730667152,0.00710433841371613,0.00394050847165748,0.0213616328348332,0.0456452807221646,0.00698820355375226,0.077891638792497,0.00323640206325892,0.00291294814401258,0.015444396957337,0.0207020175325242,0.0100887833215011,0.00785139695770516,0.0101847279376126,0.00426890269831544,0.0109264762528733,0.0135754191591656
"ENSMUSG00000014846",0.0272926155675464,0.0576283859522774,0.0223517833440382,0.00316146294891168,0.00569449105911015,0.0159028044981927,0.00416834474466281,0.0103017164018637,0,0.0020828342137303,0.0141689826025775,0.00797748761296383,0.0068198706845673,0.00740927923583843,0.00567349022068077,0.00462712429969291,0.00659928944635949,0.00353468415432702,0.00703243397930111,0.00300930725505556,0.0196497162533367,0.0109249414862506,0.0176661530779949,0.00414016313351938,0.0112911400374872,0.00513558300784822,0.0600924885718389,0.00413957340727863,0.0161820368101509,0.0135080905197458,0.0115903172047338,0.00972903717821194,0.0162728382922993,0.0244851581839784,0.0176330216663611,0.00334530973837445,0.00451895937012431,0.00244084143481833,0.0167435690755718,0.0194327142927128,0.0269938246184431,0.0406238278129508,0.0160859346951518,0.0134642182174688,0.00328178352601347,0.0126113769920175,0.00704623000898363,0.0116582898916273,0.00250340335508224
"ENSMUSG00000015053",0.0214765560674215,0.0127668593491802,0.00777700938678909,0.00458925111514804,0.0118493719714103,0.00692558479973373,0.0529762278737484,0.0154620074482355,0.0197058056977716,0,0.00844291119502837,0.0331044350880532,0.00361647394397822,0.0376788521928672,0.0436225079410884,0.0247379401268356,0.00924002633847382,0.0234255932249891,0.0201295997235823,0.0426148966496509,0.00938791128536898,0.00280751573480104,0.00266294101091362,0.0478580614387238,0.0251479690716093,0.0490166485395444,0.0878136503034614,0.056046022571773,0.0483363600319349,0.00798908377714467,0.0128364802945854,0.0284980416374871,0.00455845096265286,0.00729048339430861,0.0110786547784122,0.039973980346581,0.0481394247728895,0.0268859959202785,0.0170897823144136,0.00208771579796536,0.0020352788689488,0.00860025108231874,0.00909139135096949,0.00390047944802277,0.0605121857087751,0.00234110511563334,0.00365151123316962,0.0074823527344852,0.0410037379328648
